BUILD_CODE,WORK_TYPE,ID,START,END,COST
1.1,Сваи,2888855,05.02.2025,05.03.2025,100
1.1,Сваи,2888857,05.02.2025,05.03.2025,100
1.1,Сваи,2888859,05.02.2025,05.03.2025,100
1.1,Сваи,2888865,05.02.2025,05.03.2025,100
1.1,Сваи,2888869,05.02.2025,05.03.2025,100
1.1,Сваи,2888875,05.02.2025,05.03.2025,100
1.1,Сваи,2888877,05.02.2025,05.03.2025,100
1.1,Сваи,2888879,05.02.2025,05.03.2025,100
1.1,Сваи,2888881,05.02.2025,05.03.2025,100
1.1,Сваи,2888893,05.02.2025,05.03.2025,100
1.1,Сваи,2888895,05.02.2025,05.03.2025,100
1.1,Сваи,2888897,05.02.2025,05.03.2025,100
1.1,Сваи,2888899,05.02.2025,05.03.2025,100
1.1,Сваи,2888903,05.02.2025,05.03.2025,100
1.1,Сваи,2888905,05.02.2025,05.03.2025,100
1.1,Сваи,2888913,05.02.2025,05.03.2025,100
1.1,Сваи,2888917,05.02.2025,05.03.2025,100
1.1,Сваи,2888923,05.02.2025,05.03.2025,100
1.1,Сваи,2895983,05.02.2025,05.03.2025,100
1.1,Сваи,2921645,05.02.2025,05.03.2025,100
1.1,Сваи,2922983,05.02.2025,05.03.2025,100
1.1,Сваи,2923025,05.02.2025,05.03.2025,100
1.1,Сваи,2990865,05.02.2025,05.03.2025,100
1.1,Сваи,2991186,05.02.2025,05.03.2025,100
1.1,Сваи,2991239,05.02.2025,05.03.2025,100
1.1,Сваи,2991273,05.02.2025,05.03.2025,100
1.1,Сваи,3645215,05.02.2025,05.03.2025,100
1.1,Сваи,3645238,05.02.2025,05.03.2025,100
1.1,Сваи,3645249,05.02.2025,05.03.2025,100
1.1,Сваи,3645272,05.02.2025,05.03.2025,100
1.1,Сваи,3645338,05.02.2025,05.03.2025,100
1.1,Сваи,3645371,05.02.2025,05.03.2025,100
1.1,Сваи,3647548,05.02.2025,05.03.2025,100
1.1,Сваи,3647588,05.02.2025,05.03.2025,100
1.1,Сваи,3647665,05.02.2025,05.03.2025,100
1.1,Сваи,3647746,05.02.2025,05.03.2025,100
1.1,Сваи,3647748,05.02.2025,05.03.2025,100
1.1,Сваи,3647923,05.02.2025,05.03.2025,100
1.1,Сваи,3647983,05.02.2025,05.03.2025,100
1.1,Сваи,3648044,05.02.2025,05.03.2025,100
1.1,Сваи,3651715,05.02.2025,05.03.2025,100
1.2,Плита фундамента,2717938,05.03.2025,05.04.2025,100
1.2,Плита фундамента,2774539,05.03.2025,05.04.2025,100
1.2,Плита фундамента,2774570,05.03.2025,05.04.2025,100
1.2,Плита фундамента,2785893,05.03.2025,05.04.2025,100
1.2,Плита фундамента,2796813,05.03.2025,05.04.2025,100
1.2,Плита фундамента,2797622,05.03.2025,05.04.2025,100
1.2,Плита фундамента,2806383,05.03.2025,05.04.2025,100
1.2,Плита фундамента,2888086,05.03.2025,05.04.2025,100
1.2,Плита фундамента,2888113,05.03.2025,05.04.2025,100
1.3,Отмостка,2773908,05.04.2025,05.05.2025,100
1.3,Отмостка,2774088,05.04.2025,05.05.2025,100
1.3,Отмостка,2774226,05.04.2025,05.05.2025,100
1.3,Отмостка,2774323,05.04.2025,05.05.2025,100
1.4,Лестница,2538941,05.05.2025,05.06.2025,100
1.4,Лестница,2539051,05.05.2025,05.06.2025,100
1.4,Лестница,2791511,05.05.2025,05.06.2025,100
1.4,Лестница,2791555,05.05.2025,05.06.2025,100
1.4,Лестница,2797565,05.05.2025,05.06.2025,100
1.4,Лестница,2806229,05.05.2025,05.06.2025,100
1.4,Лестница,2806245,05.05.2025,05.06.2025,100
1.4,Лестница,2894274,05.05.2025,05.06.2025,100
